policy,burst_size,trials,mean_throughput,theoretical_throughput,mean_response_time,theoretical_response_time,mean_completed,mean_unfinished,throughput_absolute_error,response_absolute_error
random,30,10,359.1917714132555,847.4683257505108,0.05000000000000003,0.11433462329290528,30,0,488.2765543372553,0.06433462329290525
random,60,10,470.78997038033356,847.4683257505108,0.052028734290218204,0.11433462329290528,60,0,376.6783553701772,0.062305889002687076
random,90,10,524.6889389465268,847.4683257505108,0.05304116002060737,0.11433462329290528,90,0,322.7793868039839,0.06129346327229791
random,120,10,572.150549186099,847.4683257505108,0.05387972560790951,0.11433462329290528,120,0,275.3177765644117,0.06045489768499577
round_robin,30,10,359.1917714132555,847.4683257505108,0.05000000000000003,0.11433462329290528,30,0,488.2765543372553,0.06433462329290525
round_robin,60,10,485.97833259068636,847.4683257505108,0.051062725087513396,0.11433462329290528,60,0,361.4899931598244,0.06327189820539189
round_robin,90,10,556.0684245552366,847.4683257505108,0.05163063781539392,0.11433462329290528,90,0,291.3999011952742,0.06270398547751135
round_robin,120,10,594.5544532850816,847.4683257505108,0.05198476021075943,0.11433462329290528,120,0,252.9138724654291,0.06234986308214585
shortest_queue,30,10,359.1917714132555,847.4683257505108,0.05000000000000003,0.11433462329290528,30,0,488.2765543372553,0.06433462329290525
shortest_queue,60,10,484.3118141904366,847.4683257505108,0.05106909646449509,0.11433462329290528,60,0,363.15651156007414,0.06326552682841019
shortest_queue,90,10,549.8694127212141,847.4683257505108,0.05165305433048818,0.11433462329290528,90,0,297.5989130292967,0.0626815689624171
shortest_queue,120,10,593.9282675276553,847.4683257505108,0.05201035883034468,0.11433462329290528,120,0,253.54005822285546,0.0623242644625606
