scenario,policy,servers,mean_throughput,mean_response_time,mean_utilization,mean_rejected_full,mean_backup_activations
heterogeneous_round_robin,round_robin,primary:c10/s0.060/b120;primary:c15/s0.050/b120;primary:c20/s0.040/b120,0.5999999999999999,0.06456007882039072,0.0006666666666666666,0,0
heterogeneous_weighted_round_robin,weighted_round_robin,primary:c10/s0.060/b120;primary:c15/s0.050/b120;primary:c20/s0.040/b120,0.5999999999999999,0.0512819141886721,0.0006211111111111112,0,0
heterogeneous_least_work,least_work,primary:c10/s0.060/b120;primary:c15/s0.050/b120;primary:c20/s0.040/b120,0.5999999999999999,0.05101388266076977,0.0006114444444444444,0,0
heterogeneous_power_of_two,power_of_two,primary:c10/s0.060/b120;primary:c15/s0.050/b120;primary:c20/s0.040/b120,0.5999999999999999,0.051167313576590004,0.0006150000000000001,0,0
bounded_buffers,shortest_queue,primary:c15/s0.050/b2;primary:c15/s0.050/b2;primary:c15/s0.050/b2,0.5399999999999999,0.05134878452260019,0.0006000000000000001,12,0
bounded_buffers_with_backup,shortest_queue,primary:c15/s0.050/b2;primary:c15/s0.050/b2;primary:c15/s0.050/b2;backup:c15/s0.050/b120,0.5999999999999999,0.052800683521926614,0.0005000000000000001,0,12
multi_pool_flat_least_work,least_work,primary:c10/s0.060/b120;primary:c15/s0.050/b120;primary:c20/s0.040/b120;primary:c15/s0.050/b120,0.5999999999999999,0.0479242789486189,0.00046608333333333327,0,0
multi_pool_hierarchical,hierarchical_least_work,primary:c10/s0.060/b120;primary:c15/s0.050/b120;primary:c20/s0.040/b120;primary:c15/s0.050/b120,0.5999999999999999,0.04794115245142698,0.00046625,0,0
architecture_private_random,random,primary:c1/s0.050/b120;primary:c1/s0.050/b120;primary:c1/s0.050/b120,0.5999999999999999,0.9754741435434173,0.010000000000000005,0,0
architecture_private_shortest_queue,shortest_queue,primary:c1/s0.050/b120;primary:c1/s0.050/b120;primary:c1/s0.050/b120,0.5999999999999999,0.951683586523705,0.010000000000000005,0,0
architecture_shared_queue,least_work,primary:c1/s0.050/b0;primary:c1/s0.050/b0;primary:c1/s0.050/b0,0.5999999999999999,0.951683586523705,0.010000000000000005,0,0
