policy,lambda,mu,servers,stable,trials,horizon,warmup,rho,p0,analytical_jobs_per_server,analytical_queue_wait,analytical_response,analytical_throughput,analytical_utilization,fluid_backlog_rate,mean_throughput,ci95_throughput,mean_utilization,ci95_utilization,mean_jobs,ci95_jobs,mean_response,ci95_response,little_right,ci95_little_right,little_absolute_error,mean_final_jobs,mean_utilization_0,mean_utilization_1,mean_utilization_2,mean_assigned_0,mean_assigned_1,mean_assigned_2
random,0.6,1,3,true,10,5000,500,0.19999999999999998,0.8,0.24999999999999997,0.25,1.25,0.6,0.19999999999999998,0,0.5950666666666666,0.009269904588092617,0.19816971190932856,0.0041938295913423376,0.7399073479672962,0.019484626183452033,1.242789903045312,0.018983917691538236,0.7396858128045728,0.019471864648441438,0.00022153516272338525,0.6,0.20216801276555763,0.19266967116881092,0.19967145179361714,1005.4,971.1,997.9
round_robin,0.6,1,3,true,10,5000,500,0.19999999999999998,0.8,0.24999999999999997,0.25,1.25,0.6,0.19999999999999998,0,0.5950666666666666,0.009269904588092617,0.19814598330069316,0.004189797721184343,0.6309338364254827,0.013525302817670887,1.0598927836496606,0.009015904978828478,0.6307891288113406,0.013526724668727909,0.0001447076141420922,0.6,0.19770755999360703,0.19840174300494715,0.1983286469035253,991.7,991.5,991.2
shortest_queue,0.6,1,3,true,10,5000,500,0.19999999999999998,0.8,0.24999999999999997,0.25,1.25,0.6,0.19999999999999998,0,0.5950666666666666,0.009269904588092617,0.19814598330069316,0.0041897977211843435,0.6080893328528159,0.013760309908126328,1.0215009335817946,0.0110327598283438,0.6079446252386735,0.013772991927202322,0.00014470761414231426,0.6,0.19886548620503325,0.19631989613230744,0.1992525675647388,992.2,989.3,992.9
random,1.2,1,3,true,10,5000,500,0.39999999999999997,0.6000000000000001,0.6666666666666665,0.6666666666666665,1.6666666666666665,1.2,0.39999999999999997,0,1.2029999999999998,0.004006398176871542,0.39884796603051226,0.003303156363144894,2.005089265698021,0.07055180217626979,1.6657767369805132,0.056445705646006275,2.0040610587512795,0.07066793178698909,0.001028206946741328,2.3,0.39788795640250724,0.4009599995336828,0.39769594215534687,2026.8,1998.6,1995.6
round_robin,1.2,1,3,true,10,5000,500,0.39999999999999997,0.6000000000000001,0.6666666666666665,0.6666666666666665,1.6666666666666665,1.2,0.39999999999999997,0,1.2030888888888887,0.003922969619338383,0.39884289704956316,0.0033047888443347925,1.538685484264033,0.02895376955659338,1.27852281592725,0.022217636726758857,1.538228680149135,0.028874028003105703,0.00045680411489801287,1.9,0.3931791767510333,0.40066652421272825,0.4026829901849279,2007.3,2006.9,2006.8
shortest_queue,1.2,1,3,true,10,5000,500,0.39999999999999997,0.6000000000000001,0.6666666666666665,0.6666666666666665,1.6666666666666665,1.2,0.39999999999999997,0,1.2031333333333332,0.00391938922137853,0.3988245728348697,0.0033057654092112773,1.3538825880942196,0.019109346344943892,1.1250056392996122,0.014353903579309981,1.3535608067011418,0.01905658969972657,0.0003217813930778135,1.7,0.4018185401091993,0.39393603102855074,0.40071914736685904,2011.3,2003.6,2006.1
random,1.8,1,3,true,10,5000,500,0.6,0.4,1.4999999999999998,1.5,2.5,1.8,0.6,0,1.8031111111111109,0.013282065670373273,0.6021385382036819,0.007910684180311005,4.6085981288645606,0.21379236612143135,2.5533331111283246,0.11397304097336713,4.604400356400443,0.2132652281320431,0.004197772464117122,4.1,0.6026057671831238,0.6060543546682855,0.5977554927596367,3021.8,3015.4,2988
round_robin,1.8,1,3,true,10,5000,500,0.6,0.4,1.4999999999999998,1.5,2.5,1.8,0.6,0,1.8035777777777777,0.013290825461154778,0.60219439042172,0.00790750837749241,3.3452350197493375,0.17422422421423925,1.8531403808860283,0.09291983851657268,3.3428072566982485,0.17412126775830544,0.002427763051088938,2,0.6039550807290397,0.6008083367906275,0.6018197537454928,3008.7,3008.4,3008.1
shortest_queue,1.8,1,3,true,10,5000,500,0.6,0.4,1.4999999999999998,1.5,2.5,1.8,0.6,0,1.8037111111111113,0.01329961115103068,0.6021784827402996,0.007940425923777852,2.593437330787421,0.09835444468084989,1.4367428937508604,0.05251225331300798,2.591614207760685,0.09841398474501062,0.0018231230267358178,1.4,0.6007932023565745,0.6035092881280516,0.6022329577362727,3009.2,3019.9,2996.1
random,2.4,1,3,true,10,5000,500,0.7999999999999999,0.20000000000000007,3.9999999999999982,3.9999999999999982,4.999999999999998,2.4,0.7999999999999999,0,2.3866,0.016272845582403102,0.7918294616354429,0.008055251704456827,11.37461887526965,0.7024806275836875,4.753057947714838,0.27767458395908906,11.34715189271424,0.704128430277665,0.027466982555409913,13.2,0.7888424982533431,0.7995360116061268,0.7871098750468589,3991.4,3986.5,3965.1
