policy,lambda,time,jobs,queue_0,queue_1,queue_2,completed_0,completed_1,completed_2
random,0.6,500.0203199908346,2,0,0,2,120,79,80
random,0.6,500.10306414045243,3,1,0,2,120,79,80
random,0.6,501.33711526825914,4,1,1,2,120,79,80
random,0.6,501.5040585551313,3,0,1,2,121,79,80
random,0.6,501.92700722338975,2,0,0,2,121,80,80
random,0.6,502.2458683094875,3,0,0,3,121,80,80
random,0.6,502.5582479268212,2,0,0,2,121,80,81
random,0.6,502.580192912165,1,0,0,1,121,80,82
random,0.6,503.02569216960535,0,0,0,0,121,80,83
random,0.6,503.5177099842488,1,0,1,0,121,80,83
random,0.6,503.5334967661006,0,0,0,0,121,81,83
random,0.6,504.51294583169204,1,0,1,0,121,81,83
random,0.6,505.3059247102007,0,0,0,0,121,82,83
random,0.6,507.59076990253476,1,1,0,0,121,82,83
random,0.6,507.8846221772304,0,0,0,0,122,82,83
random,0.6,510.664464721198,1,0,1,0,122,82,83
random,0.6,512.0324912985009,0,0,0,0,122,83,83
random,0.6,513.0690461857342,1,1,0,0,122,83,83
random,0.6,513.260557751683,0,0,0,0,123,83,83
random,0.6,514.0270868521552,1,0,0,1,123,83,83
random,0.6,514.3306344074933,2,0,0,2,123,83,83
random,0.6,515.3643076820032,3,0,0,3,123,83,83
random,0.6,516.3558513157545,4,1,0,3,123,83,83
random,0.6,516.6821879398672,3,1,0,2,123,83,84
random,0.6,516.7243055693639,4,2,0,2,123,83,84
random,0.6,516.9208616990888,3,2,0,1,123,83,85
random,0.6,517.8884943589945,2,2,0,0,123,83,86
random,0.6,518.075643973946,1,1,0,0,124,83,86
random,0.6,518.6641174384807,0,0,0,0,125,83,86
random,0.6,519.9349336938557,1,1,0,0,125,83,86
random,0.6,520.6985459231959,0,0,0,0,126,83,86
random,0.6,525.4356280287973,1,0,0,1,126,83,86
random,0.6,526.2448503112366,0,0,0,0,126,83,87
random,0.6,526.6252730230016,1,0,1,0,126,83,87
random,0.6,527.4951230946652,2,0,1,1,126,83,87
random,0.6,528.6880010641829,3,0,2,1,126,83,87
random,0.6,529.064599393339,4,0,2,2,126,83,87
