policy,lambda,mu,servers,stable,trials,horizon,warmup,rho,p0,analytical_jobs_per_server,analytical_queue_wait,analytical_response,analytical_throughput,analytical_utilization,fluid_backlog_rate,mean_throughput,mean_utilization,mean_jobs,mean_response,little_right,little_absolute_error,mean_final_jobs
random,0.3,1,3,true,10,20000,2000,0.09999999999999999,0.9,0.1111111111111111,0.11111111111111116,1.1111111111111112,0.3,0.09999999999999999,0,0.29888888888888887,0.09995275849427673,0.33410574824873746,1.1175602521307573,0.33406223508661337,4.351316212408696e-05,0.5
round_robin,0.3,1,3,true,10,20000,2000,0.09999999999999999,0.9,0.1111111111111111,0.11111111111111116,1.1111111111111112,0.3,0.09999999999999999,0,0.2998444444444444,0.09969810783126204,0.30316727575573005,1.0109888149249673,0.30314705765499605,2.0218100733992994e-05,0.1
shortest_queue,0.3,1,3,true,10,20000,2000,0.09999999999999999,0.9,0.1111111111111111,0.11111111111111116,1.1111111111111112,0.3,0.09999999999999999,0,0.30091111111111113,0.09934421012462925,0.2990069726738406,0.993605573409112,0.2989847885120248,2.218416181576366e-05,0.3
random,0.9,1,3,true,10,20000,2000,0.3,0.7,0.4285714285714286,0.4285714285714286,1.4285714285714286,0.9,0.3,0,0.9018277777777778,0.3019622262765271,1.2949432993072942,1.435763426949777,1.2948802012262033,6.309808109095094e-05,0.5
round_robin,0.9,1,3,true,10,20000,2000,0.3,0.7,0.4285714285714286,0.4285714285714286,1.4285714285714286,0.9,0.3,0,0.9001722222222222,0.29954641536491894,1.0347452040958998,1.1492627528937989,1.0345610171940156,0.00018418690188415354,0.8
shortest_queue,0.9,1,3,true,10,20000,2000,0.3,0.7,0.4285714285714286,0.4285714285714286,1.4285714285714286,0.9,0.3,0,0.8975333333333333,0.29957705824928527,0.9562836629456001,1.0653901441644313,0.9562111646704711,7.249827512900708e-05,0.6
random,1.5,1,3,true,10,20000,2000,0.5,0.5,1,1,2,1.5,0.5,0,1.5024555555555554,0.4997282884621798,2.9858053048238133,1.9869654666216345,2.985402374693234,0.0004029301305794597,2.7
round_robin,1.5,1,3,true,10,20000,2000,0.5,0.5,1,1,2,1.5,0.5,0,1.503677777777778,0.5021191539332064,2.2522202653620527,1.497396580754049,2.2518469215642107,0.0003733437978419296,2.4
shortest_queue,1.5,1,3,true,10,20000,2000,0.5,0.5,1,1,2,1.5,0.5,0,1.499,0.5006902531020356,1.8700766278785061,1.2472879834295072,1.8697540346764696,0.0003225932020365363,2.3
random,2.1,1,3,true,10,20000,2000,0.7000000000000001,0.29999999999999993,2.333333333333334,2.333333333333334,3.333333333333334,2.1,0.7000000000000001,0,2.1039833333333333,0.7008179713519225,7.036214182752554,3.343146318586077,7.033994696304086,0.002219486448467478,8.6
round_robin,2.1,1,3,true,10,20000,2000,0.7000000000000001,0.29999999999999993,2.333333333333334,2.333333333333334,3.333333333333334,2.1,0.7000000000000001,0,2.1056055555555555,0.7019225183827954,4.987532387440757,2.3678502499242993,4.985722902948776,0.0018094844919804842,7.3
shortest_queue,2.1,1,3,true,10,20000,2000,0.7000000000000001,0.29999999999999993,2.333333333333334,2.333333333333334,3.333333333333334,2.1,0.7000000000000001,0,2.0971833333333327,0.6995483008295948,3.5944578713258117,1.713614722311005,3.593869266759949,0.0005886045658627381,3.5
random,2.7,1,3,true,10,20000,2000,0.9,0.09999999999999998,9.000000000000002,9.000000000000002,10.000000000000002,2.7,0.9,0,2.705127777777778,0.9051542236809258,29.415152019788756,10.858423583881965,29.375725771664225,0.03942624812453133,26.7
round_robin,2.7,1,3,true,10,20000,2000,0.9,0.09999999999999998,9.000000000000002,9.000000000000002,10.000000000000002,2.7,0.9,0,2.6944833333333333,0.901921954365705,18.428783707606122,6.832262456686108,18.410181639516253,0.018602068089869306,18.1
shortest_queue,2.7,1,3,true,10,20000,2000,0.9,0.09999999999999998,9.000000000000002,9.000000000000002,10.000000000000002,2.7,0.9,0,2.6970444444444444,0.8978841090005977,10.592990870890024,3.9258003204673626,10.587935027371534,0.005055843518489311,13
random,3.3,1,3,false,10,200,0,1.0999999999999999,0,0,0,0,0,0,0.2999999999999998,2.908,0.9606770069794758,51.548054681777785,15.1186935887928,43.75645546544093,7.791599216336856,92.5
round_robin,3.3,1,3,false,10,200,0,1.0999999999999999,0,0,0,0,0,0,0.2999999999999998,2.9050000000000002,0.9655227924980851,46.157680392454786,13.810452153997321,40.04956402693846,6.108116365516324,81.1
shortest_queue,3.3,1,3,false,10,200,0,1.0999999999999999,0,0,0,0,0,0,0.2999999999999998,2.9219999999999997,0.9813358619318475,41.81949401128717,12.620034085369786,36.69290804229381,5.126585968993361,79
